Date,EUR,INR,ISK,JPY,KRW,NOK
03-26-2014,0.001438212,-0.006125323,-0.001676917,0.000762895,0.001392047,0.001480877
03-27-2014,0.002677304,-0.00099686,-0.003716801,-0.003741693,-0.001735712,0.002803006
03-28-2014,0.002958765,0.001295686,-0.000177372,0.002391601,-0.007693744,-0.007490547
03-31-2014,-0.000783564,-0.006629032,-0.003019514,0.007237756,-0.00152713,0.000128331
04-01-2014,-0.001665394,0.002503581,0.000355723,0.003153736,-0.003804564,-0.002965814
04-02-2014,-0.001433633,-0.003506775,-0.001156577,0.004051367,-0.004622454,-0.000555085
04-03-2014,0.001929412,0.001971959,0.001867643,0.002255365,0.000793903,-0.001380688
04-04-2014,0.00323031,0.008180413,0.003547622,0.000279232,-0.001645272,0.005068225
04-07-2014,0.001439964,-0.011994164,-0.000885731,-0.005559469,-0.004980681,-0.001717712
04-08-2014,-0.002840775,0.0075132,-0.004974666,-0.002432301,0.002744829,-0.000350576
04-09-2014,-0.003648559,-0.00049911,-0.002585948,-0.010867108,-0.007912873,-0.002691837
04-10-2014,-0.004465188,-0.002165782,-0.002861232,0.001489744,-0.010494387,-0.006803604
04-11-2014,-0.002260922,0.005654431,-0.003049092,-0.007145499,0.003019275,-0.001197514
04-14-2014,0.00289805,0.000663147,0.004838295,0.000611413,0.000673944,0.002992783
04-15-2014,0.00210241,0,0.001696835,0.004543967,0.001894457,0.003114697
04-16-2014,0.000372993,-0.000663147,-0.003844276,-0.00026499,-0.000682408,-0.001680462
04-17-2014,-0.001091741,-0.000829515,0,0.00317523,-0.003630788,0.003664504
04-18-2014,0.001077929,0.000663697,0,0.002365133,0.002736395,0.001908268
04-21-2014,-0.000221019,-0.002324793,0,0.001141418,-0.001608232,-0.000302471
04-22-2014,0.001463341,0.005471256,0.001611036,0.001071968,0.000780399,0.001855163
04-23-2014,-0.0010904,0.004586012,-0.000805162,-0.000477332,0.001058728,-0.001093311
04-24-2014,-0.000663103,0.004139008,0.000805162,-0.001374923,-0.000875829,0.000125249
04-25-2014,-0.000926316,0.001801376,0.001965524,-0.001738444,9.62548E-05,0.000614328
04-28-2014,-0.000622635,-0.007917369,-0.001786717,-0.001927518,0.000962279,0.001950657
04-29-2014,-0.000886193,8.24861E-05,-0.000983969,0.004017149,-0.006039177,-0.001061553
04-30-2014,0.002835822,-0.003717188,0.002413598,0.000468149,-0.003878078,0.001223103
05-01-2014,-0.004014013,-0.004944509,-0.002413598,-0.00335966,0.002871304,-0.010409036
05-02-2014,-0.000124831,0.000332613,-0.000895469,0.000449889,-0.001638365,0.000228829
05-05-2014,-0.000124847,-0.001997321,-0.000806524,-0.000645604,-0.00166039,-0.002047863
05-06-2014,-0.000235864,0.001498394,-8.96759E-05,-0.000587237,9.71537E-05,0.003419739
05-07-2014,-0.003934632,-0.002198389,0.000268941,-0.004385931,-0.003494551,-0.005928015
05-08-2014,0.001364276,-0.001468315,-0.000986512,0.001758662,-0.002528794,-0.001449429
05-09-2014,0.004857275,0.000667685,0.009643811,-0.002742488,-0.000987867,-0.002211166
