Date,EUR,INR,ISK,JPY,KRW,NOK
04-16-2014,0.72401,60.299999,111.639999,101.876999,1040.199951,5.95169
04-17-2014,0.72322,60.25,111.639999,102.200996,1036.430054,5.97354
04-18-2014,0.724,60.290001,111.639999,102.443001,1039.27002,5.98495
04-21-2014,0.72384,60.150002,111.639999,102.559998,1037.599976,5.98314
04-22-2014,0.7249,60.48,111.82,102.669998,1038.410034,5.99425
04-23-2014,0.72411,60.757999,111.730003,102.621002,1039.51001,5.9877
04-24-2014,0.72363,61.009998,111.82,102.480003,1038.599976,5.98845
04-25-2014,0.72296,61.119999,112.040001,102.302002,1038.699951,5.99213
04-28-2014,0.72251,60.638,111.839996,102.105003,1039.699951,6.00383
04-29-2014,0.72187,60.643002,111.730003,102.515999,1033.439941,5.99746
04-30-2014,0.72392,60.417999,112,102.564003,1029.439941,6.0048
05-01-2014,0.72102,60.119999,111.730003,102.220001,1032.400024,5.94262
05-02-2014,0.72093,60.139999,111.629997,102.265999,1030.709961,5.94398
05-05-2014,0.72084,60.02,111.540001,102.199997,1029,5.93182
05-06-2014,0.72067,60.110001,111.529999,102.139999,1029.099976,5.95214
05-07-2014,0.71784,59.978001,111.559998,101.693001,1025.51001,5.91696
05-08-2014,0.71882,59.889999,111.449997,101.872002,1022.919983,5.90839
05-09-2014,0.72232,59.93,112.529999,101.593002,1021.909973,5.89534
05-12-2014,0.72671,59.849998,112.959999,101.900002,1023.099976,5.90538
05-13-2014,0.72692,59.419998,113.220001,102.184998,1023.22998,5.91733
05-14-2014,0.72942,59.310001,113.07,102.232002,1022.599976,5.91556
05-15-2014,0.72886,59.400002,112.769997,101.815002,1027.73999,5.92103
05-16-2014,0.72905,59.330002,112.440002,101.499001,1028.23999,5.9446
05-19-2014,0.72975,58.560001,112.300003,101.542,999.830017,5.9304
05-20-2014,0.72919,58.368,112.400002,101.5,1021.700012,5.93064
05-21-2014,0.72971,58.583,112.459999,101.262001,1024.859985,5.95113
05-22-2014,0.7309,58.688,112.470001,101.419998,1025.949951,5.94623
05-23-2014,0.73236,58.278,112.800003,101.764999,1023.97998,5.94462
05-26-2014,0.73374,58.419998,112.959999,101.961998,1024.72998,5.96356
05-27-2014,0.73253,58.650002,112.870003,101.893997,1024.130005,5.9568
05-28-2014,0.7333,59.037998,112.709999,101.976997,1024.380005,5.95247
05-29-2014,0.73565,58.830002,112.709999,101.730003,1020.900024,5.9655
05-30-2014,0.73505,58.900002,112.709999,101.720001,1018.539978,5.96488
06-02-2014,0.73378,59.188,113.120003,101.875999,1020.200012,5.9767
06-03-2014,0.73535,59.16,113.089996,102.419998,1023.400024,5.99175
06-04-2014,0.73416,59.299999,113.099998,102.540001,1022.299988,5.99951
06-05-2014,0.73507,59.259998,113.07,102.681,1025.98999,6.0004
06-06-2014,0.73196,59.162998,112.870003,102.422997,1019.400024,5.97684
06-09-2014,0.73298,59.167999,113.07,102.480003,1019,5.9442
06-10-2014,0.73569,59.198002,113.699997,102.480003,1016.789978,5.96832
06-11-2014,0.7385,59.119999,114.110001,102.314003,1016.190002,5.9796
06-12-2014,0.73871,59.333,114.120003,102,1017.599976,5.99806
06-13-2014,0.73776,59.287998,113.849998,101.699997,1017.340027,5.9846
06-16-2014,0.73866,59.702999,113.889999,101.967003,1017.299988,5.99263
06-17-2014,0.73653,60.09,113.849998,101.870003,1019.5,5.98372
06-18-2014,0.73812,60.323002,113.790001,102.174004,1023.76001,5.9977
06-19-2014,0.7358,59.810001,113.540001,101.889999,1017.859985,6.00804
06-20-2014,0.73468,60.16,113.540001,101.93,1019.22998,6.12183
06-23-2014,0.73567,60.167999,113.669998,102.066002,1020.5,6.12863
06-24-2014,0.73519,60.153,113.529999,101.870003,1018.090027,6.10823
06-25-2014,0.73498,60.189999,113.559998,101.910004,1018.549988,6.1087
06-26-2014,0.73373,59.950001,113.110001,101.800003,1018.280029,6.13108
06-27-2014,0.73459,60.080002,113.059998,101.637001,1015.599976,6.13131
06-30-2014,0.7329,60.037998,112.589996,101.443001,1013.299988,6.1265
07-01-2014,0.73027,59.970001,112.349998,101.290001,1011,6.1306
07-02-2014,0.73095,60.028,112.589996,101.540001,1010.530029,6.16243
07-03-2014,0.73244,59.439999,112.68,101.830002,1008.799988,6.17359
07-04-2014,0.73475,59.610001,113.160004,102.18,1008.719971,6.1906
07-07-2014,0.73592,59.717999,113.040001,102.110001,1008.799988,6.188
07-08-2014,0.73496,59.948002,113.790001,101.800003,1010.599976,6.1599
07-09-2014,0.73437,59.748001,113.790001,101.459999,1010.799988,6.18522
07-10-2014,0.73298,59.757999,113.730003,101.535004,1011,6.15203
07-11-2014,0.73502,60.188,113.610001,101.282997,1012.200012,6.169
07-14-2014,0.73509,60.088001,113.709999,101.370003,1018.5,6.17462
07-15-2014,0.73412,60.060001,113.879997,101.519997,1018.200012,6.1797
07-16-2014,0.73681,60.169998,114.139999,101.660004,1025.900024,6.20842
07-17-2014,0.7391,60.080002,114.18,101.629997,1031.099976,6.1955
07-18-2014,0.73971,60.599998,114.269997,101.230003,1028,6.21363
07-21-2014,0.73898,60.278,114.290001,101.339996,1027.900024,6.18776
07-22-2014,0.73926,60.25,114.68,101.400002,1026,6.19478
07-23-2014,0.7425,60.098,114.889999,101.470001,1022.599976,6.1865
07-24-2014,0.74278,59.860001,115.019997,101.519997,1022.900024,6.1963
07-25-2014,0.74268,60.060001,114.839996,101.760002,1028.400024,6.20044
07-28-2014,0.74466,60.053001,114.910004,101.749001,1025.099976,6.21574
07-29-2014,0.7441,60.049999,114.629997,101.809998,1025.630005,6.22695
07-30-2014,0.74565,60.040001,114.860001,102.075996,1023.799988,6.2467
08-05-2014,0.74504,60.900002,114.779999,102.542,1032.199951,6.26099
08-06-2014,0.74781,60.842999,115.209999,102.588997,1026.199951,6.2787
08-07-2014,0.74722,61.189999,115.129997,102.112999,1032.73999,6.26363
08-08-2014,0.7486,61.237999,115.199997,102.128998,1037.359985,6.24608
08-11-2014,0.74598,61.138,115.470001,102.154999,1036,6.23163
08-12-2014,0.74711,61.119999,115.849998,102.205002,1030,6.1825
08-13-2014,0.74816,61.220001,115.739998,102.281998,1026.199951,6.1809
08-14-2014,0.74806,61.02,115.650002,102.407997,1029.099976,6.15444
08-15-2014,0.74828,60.639999,115.410004,102.496002,1020.200012,6.15513
08-18-2014,0.7468,60.772999,115.349998,102.410004,1020.700012,6.13813
08-19-2014,0.74844,60.82,115.639999,102.610001,1016.789978,6.15693
08-20-2014,0.75064,60.740002,116.089996,102.910004,1016.799988,6.1632
08-21-2014,0.75412,60.608002,116.139999,103.700996,1021.700012,6.1884
08-22-2014,0.75305,60.439999,115.879997,103.848999,1022.700012,6.14764
08-25-2014,0.75765,60.463001,116.339996,104.200996,1020.099976,6.1793
08-26-2014,0.75821,60.509998,116.290001,104.07,1019,6.17584
08-27-2014,0.75929,60.428001,116.589996,104.089996,1015.700012,6.17718
08-28-2014,0.7581,60.448002,116.589996,103.877998,1013.200012,6.17808
08-29-2014,0.75844,60.610001,116.309998,103.695999,1014.200012,6.17481
09-01-2014,0.76174,60.513,116.739998,104.167999,1013.599976,6.1961
09-02-2014,0.7615,60.522999,117.089996,104.339996,1011.799988,6.18722
09-03-2014,0.7615,60.678001,116.779999,105.237,1017.5,6.1912
09-04-2014,0.7604,60.389999,117.07,104.871002,1019.099976,6.21739
09-05-2014,0.77323,60.369999,118.199997,105.582001,1017.900024,6.2681
09-08-2014,0.772,60.388,118.199997,105.18,1023.5,6.2815
09-09-2014,0.77573,60.380001,118.739998,106.160004,1023.5,6.3325
09-10-2014,0.77268,60.790001,118.139999,106.123001,1033.5,6.33889
09-11-2014,0.77417,60.799999,119.019997,106.825996,1033.5,6.3404
09-12-2014,0.77378,60.810001,118.949997,107.105003,1035,6.37682
09-15-2014,0.7716,60.647999,118.650002,107.330002,1009.099976,6.36002
09-16-2014,0.77281,60.970001,118.400002,107.138,1037.400024,6.3961
09-17-2014,0.77166,61.053001,118.300003,107.150002,1034.900024,6.39803
